x,y,z
-3.6500000953674316,-0.15000000596046448,-1.0118647813796997
-3.6500000953674316,-0.07502934336662292,-1.0029644966125488
-3.6500000953674316,-0.025029340758919716,-0.9970285892486572
-3.5185906887054443,-0.3083273470401764,-1.0081332921981812
-3.5351109504699707,-0.3153001666069031,-0.949999988079071
-3.556934356689453,-0.31690654158592224,-0.8459386825561523
-3.551154375076294,-0.24992190301418304,-1.011963963508606
-3.585110902786255,-0.2857631742954254,-0.949999988079071
-3.594890594482422,-0.29781439900398254,-0.8765645027160645
-3.549999952316284,-0.15000000596046448,-1.0117740631103516
-3.549999952316284,-0.07541119307279587,-1.00291907787323
-3.549999952316284,-0.025411194190382957,-0.9969832897186279
-3.450000047683716,-0.3190643787384033,-1.0134613513946533
-3.450000047683716,-0.34786760807037354,-0.949999988079071
-3.450000047683716,-0.3622695207595825,-0.8500000238418579
-3.450000047683716,-0.25,-1.0222814083099365
-3.450000047683716,-0.15000000596046448,-1.0118701457977295
-3.450000047683716,-0.07130440324544907,-1.0030499696731567
-3.450000047683716,-0.021304400637745857,-0.9976543188095093
-3.309696912765503,-0.40410754084587097,-1.0054466724395752
-3.319995880126953,-0.4084939956665039,-0.949999988079071
-3.330897092819214,-0.41317206621170044,-0.8500000238418579
-3.345818281173706,-0.3502551019191742,-1.0153273344039917
-3.3699960708618164,-0.382567435503006,-0.949999988079071
-3.380897283554077,-0.39182865619659424,-0.8500000238418579
-3.3500001430511475,-0.25,-1.0247772932052612
-3.3500001430511475,-0.15000000596046448,-1.0141723155975342
-3.3470051288604736,-0.04680268093943596,-1.0039317607879639
-3.3783416748046875,-0.01133779902011156,-0.9988986849784851
-3.25,-0.41294237971305847,-1.0138540267944336
-3.25,-0.4305489957332611,-0.949999988079071
-3.25,-0.439890056848526,-0.8500000238418579
-3.25,-0.3499999940395355,-1.029750943183899
-3.25,-0.25,-1.0275324583053589
-3.25,-0.15000000596046448,-1.0186564922332764
-3.25,-0.05000000074505806,-1.00919771194458
-3.9014267921447754,-0.20060524344444275,-0.5069062113761902
-3.9083597660064697,-0.2035742998123169,-0.45000001788139343
-3.923339366912842,-0.21003206074237823,-0.3499999940395355
-3.940913200378418,-0.21717378497123718,-0.25
-3.959890842437744,-0.22014766931533813,-0.15952762961387634
-3.950000047683716,-0.23450803756713867,-0.05000000074505806
-3.950000047683716,-0.15759976208209991,-0.75
-3.950000047683716,-0.16704393923282623,-0.6500000357627869
-3.9408562183380127,-0.18061184883117676,-0.5441437363624573
-3.958359718322754,-0.18234886229038239,-0.45000001788139343
-3.973339319229126,-0.18858343362808228,-0.3499999940395355
-3.990913152694702,-0.19608882069587708,-0.25
-3.9998180866241455,-0.19992390275001526,-0.1992127150297165
-3.8255767822265625,-0.21094058454036713,-0.75
-3.8364779949188232,-0.21560363471508026,-0.6500000357627869
-3.856771469116211,-0.216576486825943,-0.5441437363624573
-3.8500001430511475,-0.2288333922624588,-0.45000001788139343
-3.8500001430511475,-0.24166984856128693,-0.3499999940395355
-3.8500001430511475,-0.2553783655166626,-0.25
-3.8500001430511475,-0.26624080538749695,-0.15000000596046448
-3.840369939804077,-0.28030163049697876,-0.04162845015525818
-3.8755767345428467,-0.18955281376838684,-0.75
-3.8864779472351074,-0.19421584904193878,-0.6500000357627869
-3.8946189880371094,-0.19769825041294098,-0.5735728740692139
-3.710662841796875,-0.3045431971549988,-0.3308996558189392
-3.722102642059326,-0.30919891595840454,-0.25
-3.73388934135437,-0.31391456723213196,-0.15000000596046448
-3.7558271884918213,-0.31501394510269165,-0.04162845015525818
-3.75,-0.2432689517736435,-0.75
-3.75,-0.25259503722190857,-0.6500000357627869
-3.75,-0.26192110776901245,-0.550000011920929
-3.75,-0.2719813287258148,-0.45000001788139343
-3.7463977336883545,-0.28509363532066345,-0.35853978991508484
-3.7721025943756104,-0.2882046103477478,-0.25
-3.7838892936706543,-0.2933851182460785,-0.15000000596046448
-3.7930452823638916,-0.29714444279670715,-0.0693807527422905
-3.60868763923645,-0.30371615290641785,-0.75
-3.619588851928711,-0.3083791732788086,-0.6500000357627869
-3.6304898262023926,-0.31304222345352173,-0.550000011920929
-3.6423416137695312,-0.31817105412483215,-0.45000001788139343
-3.659497022628784,-0.32209300994873047,-0.35853978991508484
-3.6500000953674316,-0.3389798402786255,-0.25
-3.6500000953674316,-0.34835854172706604,-0.15000000596046448
-3.6500000953674316,-0.3576846122741699,-0.05000000074505806
-3.6586875915527344,-0.28232836723327637,-0.75
-3.669588804244995,-0.2869914174079895,-0.6500000357627869
-3.680490016937256,-0.29165443778038025,-0.550000011920929
-3.6923415660858154,-0.2967222332954407,-0.45000001788139343
-3.6991617679595947,-0.2996390163898468,-0.3975663185119629
-3.5042896270751953,-0.4017612636089325,-0.21888530254364014
-3.512112855911255,-0.40497341752052307,-0.15000000596046448
-3.523469924926758,-0.4096364378929138,-0.05000000074505806
-3.549999952316284,-0.32882004976272583,-0.75
-3.549999952316284,-0.3381461203098297,-0.6500000357627869
-3.549999952316284,-0.3474721908569336,-0.550000011920929
-3.549999952316284,-0.3578016459941864,-0.45000001788139343
-3.549999952316284,-0.36944815516471863,-0.3499999940395355
-3.5425736904144287,-0.38301628828048706,-0.2513311803340912
-3.562112808227539,-0.384443998336792,-0.15000000596046448
-3.573469877243042,-0.38910701870918274,-0.05000000074505806
-3.405433416366577,-0.4023241698741913,-0.6249210834503174
-3.4136006832122803,-0.40581774711608887,-0.550000011920929
-3.425748586654663,-0.41094785928726196,-0.45000001788139343
-3.4387614727020264,-0.41612738370895386,-0.3499999940395355
-3.458030939102173,-0.41772860288619995,-0.2513311803340912
-3.450000047683716,-0.43047624826431274,-0.15000000596046448
-3.450000047683716,-0.4398023188114166,-0.05000000074505806
-3.450000047683716,-0.3715955913066864,-0.75
-3.4432601928710938,-0.38334283232688904,-0.6549526453018188
-3.4636006355285645,-0.3844299912452698,-0.550000011920929
-3.4757485389709473,-0.38963061571121216,-0.45000001788139343
-3.4887616634368896,-0.39523929357528687,-0.3499999940395355
-3.496718406677246,-0.398652583360672,-0.2855519652366638
-3.3417983055114746,-0.4178628623485565,-0.75
-3.3588995933532715,-0.41942745447158813,-0.6549526453018188
-3.3500001430511475,-0.43302327394485474,-0.550000011920929
-3.3500001430511475,-0.4429037272930145,-0.45000001788139343
-3.3500001430511475,-0.4528335630893707,-0.3499999940395355
-3.3500001430511475,-0.462209016084671,-0.25
-3.3500001430511475,-0.4715351164340973,-0.15000000596046448
-3.3429489135742188,-0.48347821831703186,-0.05298217013478279
-3.391798257827759,-0.396491676568985,-0.75
-3.3981659412384033,-0.3992154598236084,-0.6915877461433411
-3.204648971557617,-0.5011206865310669,-0.31201648712158203
-3.216376781463623,-0.5040125250816345,-0.25
