x,y,z
-1.350000023841858,-0.8500000238418579,-0.1530829221010208
-1.2000001668930054,-1.0,-0.20000003278255463
-1.2400001287460327,-1.0000001192092896,-0.14000007510185242
-1.25,-1.0000001192092896,-0.05000000074505806
-1.2049540281295776,-0.949999988079071,-0.2017854005098343
-1.2549540996551514,-0.949999988079071,-0.1677757054567337
-1.2099080085754395,-0.8500000238418579,-0.20357073843479156
-1.2599079608917236,-0.8500000238418579,-0.1855512261390686
-1.149999976158142,-1.0000001192092896,-0.2000000774860382
-1.149999976158142,-1.0000001192092896,-0.15000000596046448
-1.149999976158142,-1.0000001192092896,-0.05000000074505806
-1.149999976158142,-0.949999988079071,-0.21258056163787842
-1.149999976158142,-0.8500000238418579,-0.22516097128391266
-1.0500000715255737,-1.0000001192092896,-0.20000016689300537
-1.0500000715255737,-1.0000001192092896,-0.15000000596046448
-1.0500000715255737,-1.0000001192092896,-0.05000000074505806
-1.0500000715255737,-0.949999988079071,-0.23060017824172974
-1.0500000715255737,-0.8500000238418579,-0.2612000107765198
-0.9000001549720764,-1.0,-0.30000004172325134
-0.9400001168251038,-1.0000001192092896,-0.24000009894371033
-0.949999988079071,-1.0000001192092896,-0.15000000596046448
-0.949999988079071,-1.0000001192092896,-0.05000000074505806
-0.9105848670005798,-0.949999988079071,-0.30381467938423157
-0.9605848789215088,-0.949999988079071,-0.26980501413345337
-0.9211694598197937,-0.8500000238418579,-0.3076292872428894
-0.9711694717407227,-0.8500000238418579,-0.28960976004600525
-0.8500000238418579,-1.0000001192092896,-0.3000001013278961
-0.8500000238418579,-1.0000001192092896,-0.25
-0.8500000238418579,-1.0000001192092896,-0.15000000596046448
-0.8500000238418579,-1.0000001192092896,-0.05000000074505806
-0.8500000238418579,-0.949999988079071,-0.31663912534713745
-0.8500000238418579,-0.8500000238418579,-0.3332780599594116
-1.5500000715255737,-0.75,-0.08100485801696777
-1.5500000715255737,-0.6500000357627869,-0.08100485801696777
-1.5500000715255737,-0.550000011920929,-0.08100485801696777
